iter	Passed	Remaining
0	1	168
1	3	164
2	5	170
3	6	155
4	7	151
5	9	150
6	11	148
7	12	147
8	14	145
9	16	144
10	17	143
11	19	142
12	21	141
13	22	141
14	24	140
15	26	138
16	28	137
17	29	135
18	31	133
19	32	131
20	34	130
21	36	128
22	37	126
23	39	125
24	41	124
25	43	123
26	45	122
27	47	122
28	49	120
29	51	119
30	52	117
31	54	115
32	56	114
33	58	112
34	59	110
35	61	108
36	62	106
37	64	105
38	65	103
39	67	101
40	69	99
41	69	96
42	71	95
43	73	93
44	74	91
45	76	90
46	79	90
47	81	88
48	84	87
49	86	86
50	87	84
51	91	84
52	93	83
53	95	81
54	96	79
55	98	77
56	100	75
57	102	73
58	104	72
59	105	70
60	107	68
61	109	67
62	111	65
63	113	63
64	115	62
65	116	60
66	118	58
67	120	56
68	122	55
69	124	53
70	127	52
71	129	50
72	132	48
73	134	47
74	136	45
75	138	43
76	141	42
77	143	40
78	146	38
79	149	37
80	153	36
81	156	34
82	159	32
83	162	30
84	165	29
85	167	27
86	169	25
87	172	23
88	174	21
89	176	19
90	178	17
91	180	15
92	182	13
93	185	11
94	187	9
95	192	8
96	194	6
97	202	4
98	220	2
99	222	0
